Symbol
DMART
ONGC
MAHABANK
UPL
RECLTD
IGL
HINDZINC
OIL
CHOLAFIN
IREDA
TATAMOTORS
SBICARD
SRF
HUDCO
NAUKRI
LODHA
UNIONBANK
ICICIPRULI
DABUR
APLAPOLLO
GODREJCP
SBILIFE
IOB
TITAN
YESBANK
NYKAA
IDEA
VEDL
IDBI
BDL
MAXHEALTH
ADANIENSOL
JINDALSTEL
NESTLEIND
HINDUNILVR
COLPAL
IDFCFIRSTB
PFC
MANKIND
BRITANNIA
MARICO
IRFC
PNB
BANKINDIA
PATANJALI
JSWINFRA
JIOFIN
RVNL
BHARTIHEXA
TATACONSUM
RELIANCE
LICI
HDFCLIFE
LICHSGFIN
NLCINDIA
AUBANK
LTF
IRB
MARUTI
INDUSINDBK
VBL
POLICYBZR
NTPC
ABCAPITAL
PETRONET
SOLARINDS
DIXON
TATAPOWER
NHPC
COALINDIA
BANKBARODA
INDIANB
CANBK
ESCORTS
POWERGRID
PIDILITIND
JUBLFOOD
M&MFIN
ICICIGI
TATASTEEL
IRCTC
IOC
JSWSTEEL
EICHERMOT
SAIL
NMDC
COCHINSHIP
GAIL
BPCL
KOTAKBANK
BAJAJFINSV
SHRIRAMFIN
HINDPETRO
GMRAIRPORT
MOTHERSON
SJVN
PAYTM
TATACHEM
BAJFINANCE
LTIM
AMBUJACEM
MRPL
ULTRACEMCO
COFORGE
ASIANPAINT
HAVELLS
BOSCHLTD
TATACOMM
AXISBANK
TRENT
UNITDSPR
ADANIPOWER
FEDERALBNK
CONCOR
PRESTIGE
INDUSTOWER
TVSMOTOR
ADANIGREEN
MAZDOCK
TATATECH
HAL
TATAELXSI
PAGEIND
ACC
DLF
KALYANKJIL
VOLTAS
INFY
MPHASIS
M&M
ABFRL
BHARTIARTL
SBIN
POONAWALLA
SUNDARMFIN
ASHOKLEY
ITC
TORNTPHARM
INDHOTEL
LUPIN
MUTHOOTFIN
EXIDEIND
MFSL
GRASIM
CUMMINSIND
ATGL
BHEL
PIIND
SONACOMS
JSWENERGY
BAJAJ-AUTO
HDFCAMC
SIEMENS
PERSISTENT
APOLLOHOSP
ADANIENT
SUZLON
BIOCON
OBEROIRLTY
ALKEM
INDIGO
LT
HINDALCO
HCLTECH
SUPREMEIND
OFSS
SUNPHARMA
ABB
BHARATFORG
BEL
HEROMOTOCO
DIVISLAB
DRREDDY
ASTRAL
SHREECEM
TIINDIA
TORNTPOWER
PHOENIXLTD
TCS
CGPOWER
ZYDUSLIFE
ICICIBANK
CIPLA
BANDHANBNK
AUROPHARMA
TECHM
MRF
ADANIPORTS
DELHIVERY
BSE
BALKRISIND
HDFCBANK
KPITTECH
WIPRO
POLYCAB
GODREJPROP
APOLLOTYRE
BAJAJHLDNG
FACT
ZOMATO
